"Dependency","Version","License"
"aho-corasick-double-array-trie","1.2.2","Apache-2.0"
"aspectjrt","1.9.22.1","Apache-2.0"
"checker-qual","3.43.0","MIT"
"classgraph","4.8.179","MIT"
"commons-beanutils","1.9.4","Apache-2.0"
"commons-collections","3.2.2","Apache-2.0"
"commons-collections4","4.4","Apache-2.0"
"commons-digester","2.1","Apache-2.0"
"commons-exec","1.4.0","Apache-2.0"
"commons-io","2.17.0","Apache-2.0"
"commons-lang3","3.17.0","Apache-2.0"
"commons-logging","1.2","Apache-2.0"
"commons-pool2","2.12.0","Apache-2.0"
"commons-text","1.10.0","Apache-2.0"
"commons-validator","1.7","Apache-2.0"
"error_prone_annotations","2.28.0","Apache-2.0"
"grpc-netty-shaded","1.66.0","Apache-2.0"
"gson","2.11.0","Apache-2.0"
"guava","33.3.1-jre","Apache-2.0"
"hunspell","2.1.2","Apache-2.0"
"istack-commons-runtime","4.1.2","BSD-3-Clause"
"j2objc-annotations","3.0.0","Apache-2.0"
"jackson-annotations","2.18.2","Apache-2.0"
"jackson-core","2.18.2","Apache-2.0"
"jackson-databind","2.18.2","Apache-2.0"
"jackson-datatype-jdk8","2.18.2","Apache-2.0"
"jackson-datatype-jsr310","2.18.2","Apache-2.0"
"jackson-module-parameter-names","2.18.2","Apache-2.0"
"jakarta.activation-api","2.1.3","BSD-3-Clause"
"jakarta.annotation-api","2.1.1","Classpath-exception-2.0 AND EPL-2.0 AND GPL-2.0-only"
"jakarta.websocket-api","2.1.1","Classpath-exception-2.0 AND EPL-2.0 AND GPL-2.0-only"
"jakarta.xml.bind-api","4.0.2","BSD-3-Clause"
"java-diff-utils","4.12","Apache-2.0"
"java-sarif","2.0","MIT"
"javax.activation-api","1.2.0","CDDL-1.1 AND GPL-2.0-only"
"javax.annotation-api","1.3.2","CDDL-1.0 AND GPL-2.0-only AND ORACLE-OPENJDK-EXCEPTION-2.0"
"jaxb-api","2.3.0","CDDL-1.1 AND GPL-2.0-only AND ORACLE-OPENJDK-EXCEPTION-2.0"
"jaxb-core","4.0.5","BSD-3-Clause"
"jaxb-runtime","4.0.5","BSD-3-Clause"
"jgrapht-core","1.5.2","EPL-1.0 AND LGPL-2.0-or-later"
"jline-native","3.24.1","BSD-3-Clause"
"jline-terminal","3.24.1","BSD-3-Clause"
"jna-platform","5.12.1","Apache-2.0"
"jna","5.12.1","Apache-2.0"
"jsr305","3.0.2","Apache-2.0"
"jul-to-slf4j","2.0.16","MIT"
"language-detector","0.6","Apache-2.0"
"language-en","6.5","LGPL-2.0-or-later"
"language-ru","6.5","LGPL-2.0-or-later"
"languagetool-core","6.5","LGPL-2.0-or-later"
"log4j-api","2.24.3","Apache-2.0"
"log4j-to-slf4j","2.24.3","Apache-2.0"
"lombok","1.18.36","BSD-3-CLAUSE-NO-TRADEMARK AND MIT"
"lucene-backward-codecs","5.5.5","Apache-2.0"
"lucene-core","5.5.5","Apache-2.0"
"micrometer-commons","1.14.3","Apache-2.0"
"micrometer-core","1.14.3","Apache-2.0"
"micrometer-observation","1.14.3","Apache-2.0"
"micrometer-registry-prometheus","1.14.3","Apache-2.0"
"mxparser","1.2.2","xpp"
"opennlp-chunk-models","1.5","Apache-2.0"
"opennlp-postag-models","1.5","Apache-2.0"
"opennlp-tokenize-models","1.5","Apache-2.0"
"opennlp-tools","1.9.4","Apache-2.0"
"openregex","1.1.1","LGPL-2.0-or-later"
"org.abego.treelayout.core","1.0.3","BSD-3-Clause"
"progressbar","0.10.1","MIT"
"proto-google-common-protos","2.41.0","Apache-2.0"
"segment","2.0.1","MIT"
"simpleclient","0.16.0","Apache-2.0"
"simpleclient_guava","0.16.0","Apache-2.0"
"simpleclient_tracer_common","0.16.0","Apache-2.0"
"simpleclient_tracer_otel","0.16.0","Apache-2.0"
"simpleclient_tracer_otel_agent","0.16.0","Apache-2.0"
"slf4j-api","2.0.16","MIT"
"snakeyaml","2.3","Apache-2.0"
"spring-aop","6.2.2","Apache-2.0"
"spring-beans","6.2.2","Apache-2.0"
"spring-boot-autoconfigure","3.4.2","Apache-2.0"
"spring-boot-starter-cache","3.4.2","Apache-2.0"
"spring-boot-starter-json","3.4.2","Apache-2.0"
"spring-boot-starter-logging","3.4.2","Apache-2.0"
"spring-boot-starter-tomcat","3.4.2","Apache-2.0"
"spring-boot-starter-web","3.4.2","Apache-2.0"
"spring-boot-starter-websocket","3.4.2","Apache-2.0"
"spring-boot-starter","3.4.2","Apache-2.0"
"spring-boot","3.4.2","Apache-2.0"
"spring-context-support","6.2.2","Apache-2.0"
"spring-context","6.2.2","Apache-2.0"
"spring-core","6.2.2","Apache-2.0"
"spring-expression","6.2.2","Apache-2.0"
"spring-jcl","6.2.2","Apache-2.0"
"spring-messaging","6.2.2","Apache-2.0"
"spring-web","6.2.2","Apache-2.0"
"spring-webmvc","6.2.2","Apache-2.0"
"spring-websocket","6.2.2","Apache-2.0"
"st4","4.3.4","BSD-3-Clause"
"tomcat-embed-core","10.1.34","Apache-2.0 AND CDDL-1.0 AND PROPRIETARY-LICENSE"
"tomcat-embed-el","10.1.34","Apache-2.0"
"tomcat-embed-websocket","10.1.34","Apache-2.0"
"txw2","4.0.5","BSD-3-Clause"
"vavr-match","0.10.2","Apache-2.0"
"vavr","0.10.2","Apache-2.0"
